text,geopy_lat,geopy_lon
@ShortStintatPlanet-Earth-UK,,
"**302** Wilmington, Delaware",39.72065864424771
#Blockchain,44.6465984,34.4007341
#Cryptoverse!,,
#Earth #Europe #Germany #NRW,,
+62 361,46.5489104,-72.4476107
⊂яγρт๑ℓαทδ,,
🇪🇺,,
🇵🇭Philippines,12.7503486,122.7312101
"10.509633,-67.604186",10.5083962
127.0.0.1,,
280 01’ ve 290 55’ doğu boylam,,
42th on the 3rd rock,,
"50°36'24.5""S 165°58'21.2""E",-41.5000831,172.8344077
"8, peace close",52.2252742
"A Coruña, Spain",43.3709703
"Abbottabad, Pakistan",34.1436136
Afghanistan,33.7680065,66.2385139
Africa,11.5024338,17.7578122
"Afton, OK",36.6939077
"Águeda, Portugal",40.5785006
Alabama,33.2588817,-86.8295337
"ALBANY, NEW YORK",42.6511674
Aldebaran,63.9069979,19.754541932930536
"Alexandria, Egypt",31.1991806
Algérie,28.0000272,2.9999825
"Algiers, Algeria",36.7753606
Almost there,26.1814811,-97.7461132
America,39.7837304,-100.445882
American Samoa,-14.297124,-170.7131481
"Amsterdam, The Netherlands",52.3730796
Ancapistão,,
andromeda,44.39356085,8.678651492585516
"Antalya, Türkiye",36.8872942
Antarctique,-79.4063075,0.3149312
anywhere,-14.1601396,33.8624178
Anzoátegui - Venezuela 🇻🇪,9.019792500000001,-64.21680012328406
Apache Junction,33.4150485,-111.549577
"Aschaffenburg, Bayern",49.9740542
Asia❤,51.2086975,89.2343748
Asylum,41.7131308,-76.333548
Atlanta,33.7489924,-84.3902644
"Atlanta, GA",33.7489924
"Auckland, New Zealand",-36.852095
Australia,-24.7761086,134.755
Australia 🇦🇺,-24.7761086,134.755
Austria/Salzburg,47.7981346,13.0464806
Awka,6.2100945,7.0741145
"Ayodhya, India",26.7990707
"Baguio City, Cordillera Admin ",16.3985432
"Baja California, México",30.0338923
BANDUNG MAJALAYA,-7.0495197,107.7615982
Bangladesh,24.4769288,90.2934413
Barcelona,41.3828939,2.1774322
"Beaumont, CA",53.3525496
Beijing,39.906217,116.3912757
"Belarus, Minsk",53.9024716
Berlin,52.5170365,13.3888599
"Berlin, Deutschland",52.5170365
"Berlin, Germany",52.5170365
"Berlin,Germany",52.5170365
"Bhubaneshwar, India",20.2602964
Binance Sucks,,
"Birmingham, England",52.4796992
bj,9.5293472,2.2584408
blockchain,44.6465984,34.4007341
"Bogotá, D.C., Colombia"
"Bonn, Deutschland",50.735851
Bosnia and Herzegovina,44.3053476,17.5961467
Boston,42.3554334,-71.060511
"Boston, MA",42.3554334
Brasil,-10.3333333,-53.2
Bronze Age before 2900 BC,,
"Brooklyn, NY",40.6526006
"Bruxelles, Belgique",50.8465573
"Bucharest, Romania",44.4361414
"Bucureşti, România",44.4361414
Building The Metaverse,,
"Busan, South Korea",35.1799528
Butterworth,5.3933618,100.366572
Calgary,51.0460954,-114.065465
California,36.7014631,-118.755997
"California, PA",-23.6672543
"California, USA",36.7014631
Cambodia,12.5433216,104.8144914
Canada,61.0666922,-107.991707
"Canton, MI",32.612602
"Cape Town,South africa",-33.928992
"Caracas, Venezuela",10.5060934
"Carlsbad, CA",33.1580933
Chainlink,44.1778163,-71.7232561
CHANDANNAGAR,22.8639237,88.3703496
"Chandigarh, India",30.72984395
"Chania, Greece",35.5120831
"Charlotte, NC",35.2272086
"Chatham-Kent, Ontario",42.41833
chennai,13.0836939,80.270186
"Chennai, India",13.0836939
Chicago,41.8755616,-87.6244212
"Chicago, IL",41.8755616
"Chicago, Illinois",41.8755616
Chile,-31.7613365,-71.3187697
"Cikarang, Indonesia",-6.2587148
"Cipanas, Indonesia",-6.7633512
City of Angels (scandals),,
"City of Joy,Kolkata",
"Cluj, România",46.769379
CNY,38.7584059,-109.748812
"College Park, GA",33.6534427
"College Station, TX",30.5955289
"Colorado Springs, CO",38.8339578
"Colorado, USA",38.7251776
Colorful Colorado,39.4051572,-104.9033631
Conceit_world ᕙ(͡°‿ ͡°)ᕗ,,
"Coral Gables, FL",25.72149
"Coral Springs, FL",26.271192
"Cranston, RI",41.7809588
Crypto Twitter,,
CryptoPeevski,,
CryptoWRLD,,
Cryptozuela,,
CT,41.6500201,-72.7342163
Cuba,23.0131338,-80.8328748
Dallas,32.7762719,-96.7968559
DC,38.8950368,-77.0365427
Decentralized,37.7561803,23.66690056425356
"Denver, CO",39.7392364
"Denver, Colorado ",39.7392364
